date,language,total_code_lines_accepted,total_code_lines_suggested,completion_acceptance_rate
2025-01-23,bat,0,9,0.0
2025-01-23,csharp,388,1541,0.2517845554834523
2025-01-23,dockerfile,0,9,0.0
2025-01-23,dotenv,6,34,0.1764705882352941
2025-01-23,html,5,44,0.1136363636363636
2025-01-23,ini,0,1,0.0
2025-01-23,java,45,360,0.125
2025-01-23,javascript,1,10,0.1
2025-01-23,json,4,110,0.0363636363636363
2025-01-23,jsonc,0,4,0.0
2025-01-23,latex,60,225,0.2666666666666666
2025-01-23,markdown,20,137,0.145985401459854
2025-01-23,powershell,168,691,0.2431259044862518
2025-01-23,python,12,25,0.48
2025-01-23,razor,1,12,0.0833333333333333
2025-01-23,sas,0,6,0.0
2025-01-23,scss,1,9,0.1111111111111111
2025-01-23,shellscript,1,8,0.125
2025-01-23,sql,13,148,0.0878378378378378
2025-01-23,terraform,75,380,0.1973684210526315
2025-01-23,typescript,132,696,0.1896551724137931
2025-01-23,typescriptreact,549,2295,0.2392156862745098
2025-01-23,unknown,33,413,0.0799031476997578
2025-01-23,vb,0,8,0.0
2025-01-23,xml,6,102,0.0588235294117647
2025-01-23,yaml,99,537,0.1843575418994413
2025-01-24,csharp,100,1784,0.0560538116591928
2025-01-24,go,0,2,0.0
2025-01-24,java,15,141,0.1063829787234042
2025-01-24,json,0,98,0.0
2025-01-24,markdown,0,3,0.0
2025-01-24,powershell,38,277,0.1371841155234657
2025-01-24,scss,2,151,0.0132450331125827
2025-01-24,shellscript,0,2,0.0
2025-01-24,sql,0,5,0.0
2025-01-24,terraform,47,150,0.3133333333333333
2025-01-24,typescript,32,265,0.120754716981132
2025-01-24,typescriptreact,51,385,0.1324675324675324
2025-01-24,unknown,5,82,0.0609756097560975
2025-01-24,yaml,25,96,0.2604166666666667
2025-01-25,csharp,3,49,0.0612244897959183
2025-01-25,css,0,12,0.0
2025-01-25,python,0,6,0.0
2025-01-25,typescript,16,109,0.146788990825688
2025-01-25,typescriptreact,24,109,0.2201834862385321
2025-01-25,xml,0,4,0.0
2025-01-26,csharp,25,92,0.2717391304347826
2025-01-26,css,0,3,0.0
2025-01-26,json,1,7,0.1428571428571428
2025-01-26,python,0,1,0.0
2025-01-26,scss,0,11,0.0
2025-01-26,typescriptreact,4,38,0.1052631578947368
2025-01-26,xml,0,1,0.0
2025-01-27,csharp,1,1,1.0
2025-01-27,python,5,35,0.1428571428571428
2025-01-27,shellscript,1,3,0.3333333333333333
2025-01-28,csharp,559,2462,0.2270511779041429
2025-01-28,deveroom,1,7,0.1428571428571428
2025-01-28,dotenv,0,19,0.0
2025-01-28,groovy,18,62,0.2903225806451613
2025-01-28,ini,1,4,0.25
2025-01-28,java,41,393,0.104325699745547
2025-01-28,javascript,34,129,0.2635658914728682
2025-01-28,json,22,165,0.1333333333333333
2025-01-28,jupyter,0,7,0.0
2025-01-28,latex,39,111,0.3513513513513513
2025-01-28,lua,0,3,0.0
2025-01-28,markdown,8,68,0.1176470588235294
2025-01-28,plaintext,4,12,0.3333333333333333
2025-01-28,powershell,183,773,0.2367399741267787
2025-01-28,python,49,744,0.0658602150537634
2025-01-28,sas,6,38,0.1578947368421052
2025-01-28,scss,14,21,0.6666666666666666
2025-01-28,sql,42,295,0.1423728813559322
2025-01-28,terraform,15,311,0.0482315112540192
2025-01-28,typescript,125,701,0.1783166904422254
2025-01-28,typescriptreact,126,543,0.2320441988950276
2025-01-28,unknown,1,13,0.0769230769230769
2025-01-28,vb,6,19,0.3157894736842105
2025-01-28,webforms,0,34,0.0
2025-01-28,xml,21,102,0.2058823529411764
2025-01-28,yaml,36,416,0.0865384615384615
2025-01-29,csharp,964,3892,0.24768756423432683
2025-01-29,css,1,1,1.0
2025-01-29,deveroom,1,2,0.5
2025-01-29,dockerfile,0,1,0.0
2025-01-29,dotenv,2,8,0.25
2025-01-29,html,20,95,0.21052631578947367
2025-01-29,ini,0,13,0.0
2025-01-29,java,36,318,0.11320754716981132
2025-01-29,javascript,1,33,0.030303030303030304
2025-01-29,json,8,242,0.03305785123966942
2025-01-29,markdown,27,272,0.09926470588235294
2025-01-29,plaintext,1,1,1.0
2025-01-29,powershell,91,512,0.177734375
2025-01-29,python,235,1634,0.1438188494492044
2025-01-29,razor,19,28,0.6785714285714286
2025-01-29,sas,6,87,0.06896551724137931
2025-01-29,scss,48,223,0.21524663677130046
2025-01-29,shellscript,8,38,0.21052631578947367
2025-01-29,sql,96,391,0.24552429667519182
2025-01-29,terraform,43,372,0.11559139784946236
2025-01-29,typescript,240,871,0.2755453501722158
2025-01-29,typescriptreact,377,1402,0.2689015691868759
2025-01-29,unknown,31,345,0.08985507246376812
2025-01-29,vb,91,695,0.13093525179856116
2025-01-29,webforms,0,2,0.0
2025-01-29,xml,2,29,0.06896551724137931
2025-01-29,yaml,102,616,0.16558441558441558
2025-01-30,coffeescript,0,7,0.0
2025-01-30,csharp,840,3038,0.2764976958525346
2025-01-30,css,0,39,0.0
2025-01-30,dockerfile,0,1,0.0
2025-01-30,dotenv,1,7,0.14285714285714285
2025-01-30,groovy,0,4,0.0
2025-01-30,ini,1,40,0.025
2025-01-30,java,70,599,0.11686143572621036
2025-01-30,javascript,7,26,0.2692307692307692
2025-01-30,json,94,302,0.31125827814569534
2025-01-30,jsonc,0,1,0.0
2025-01-30,makefile,0,2,0.0
2025-01-30,markdown,18,161,0.11180124223602485
2025-01-30,mysql,0,13,0.0
2025-01-30,powershell,95,509,0.18664047151277013
2025-01-30,python,162,1309,0.12375859434682965
2025-01-30,razor,0,2,0.0
2025-01-30,sas,0,17,0.0
2025-01-30,shellscript,34,187,0.18181818181818182
2025-01-30,snowflake-sql,0,1,0.0
2025-01-30,sql,82,1062,0.07721280602636535
2025-01-30,terraform,59,398,0.14824120603015076
2025-01-30,typescript,86,633,0.1358609794628752
2025-01-30,typescriptreact,261,1268,0.2058359621451104
2025-01-30,unknown,89,700,0.12714285714285714
2025-01-30,vb,1,16,0.0625
2025-01-30,xml,24,53,0.4528301886792453
2025-01-30,yaml,119,837,0.14217443249701314
2025-01-31,csharp,928,2715,0.341804788213628
2025-01-31,css,2,11,0.18181818181818182
2025-01-31,dockerfile,0,2,0.0
2025-01-31,dotenv,1,32,0.03125
2025-01-31,html,2,4,0.5
2025-01-31,ini,0,5,0.0
2025-01-31,java,23,255,0.09019607843137255
2025-01-31,json,54,608,0.08881578947368421
2025-01-31,markdown,1,23,0.043478260869565216
2025-01-31,powershell,183,525,0.3485714285714286
2025-01-31,python,148,935,0.15828877005347594
2025-01-31,razor,2,17,0.11764705882352941
2025-01-31,rest,0,3,0.0
2025-01-31,sas,11,47,0.23404255319148937
2025-01-31,scss,9,144,0.0625
2025-01-31,shellscript,6,31,0.1935483870967742
2025-01-31,sql,73,597,0.12227805695142378
2025-01-31,terraform,21,276,0.07608695652173914
2025-01-31,typescript,80,568,0.14084507042253522
2025-01-31,typescriptreact,109,640,0.1703125
2025-01-31,unknown,42,224,0.1875
2025-01-31,vb,138,336,0.4107142857142857
2025-01-31,xml,11,54,0.2037037037037037
2025-01-31,yaml,152,1335,0.11385767790262172
2025-02-01,csharp,43,139,0.30935251798561153
2025-02-01,json,3,8,0.375
2025-02-01,markdown,0,1,0.0
2025-02-01,python,2,49,0.04081632653061224
2025-02-01,typescript,15,54,0.2777777777777778
2025-02-01,typescriptreact,23,135,0.17037037037037037
2025-02-01,yaml,7,31,0.22580645161290322
2025-02-02,csharp,36,102,0.35294117647058826
2025-02-02,markdown,0,2,0.0
2025-02-02,python,12,31,0.3870967741935484
2025-02-02,sas,0,37,0.0
2025-02-03,csharp,699,2414,0.2895608947804474
2025-02-03,csv,0,1,0.0
2025-02-03,dockerfile,3,27,0.1111111111111111
2025-02-03,ini,0,4,0.0
2025-02-03,java,31,247,0.12550607287449392
2025-02-03,javascript,18,127,0.14173228346456693
2025-02-03,json,8,258,0.031007751937984496
2025-02-03,jupyter,0,20,0.0
2025-02-03,markdown,8,89,0.0898876404494382
2025-02-03,perl,0,53,0.0
2025-02-03,powershell,73,345,0.21159420289855072
2025-02-03,python,180,1401,0.1284796573875803
2025-02-03,razor,1,37,0.02702702702702703
2025-02-03,sas,9,65,0.13846153846153847
2025-02-03,scss,5,20,0.25
2025-02-03,snowflake-sql,2,4,0.5
2025-02-03,sql,33,557,0.059245960502693
2025-02-03,terraform,56,285,0.19649122807017544
2025-02-03,text,0,3,0.0
2025-02-03,typescript,124,663,0.1870286576168929
2025-02-03,typescriptreact,209,1272,0.16430817610062892
2025-02-03,unknown,18,121,0.1487603305785124
2025-02-03,vb,98,428,0.22897196261682243
2025-02-03,xml,27,92,0.29347826086956524
2025-02-03,yaml,89,435,0.2045977011494253
2025-02-04,bat,0,1,0.0
2025-02-04,csharp,714,2529,0.2823250296559905
2025-02-04,csv,0,5,0.0
2025-02-04,dockerfile,1,4,0.25
2025-02-04,dotenv,0,2,0.0
2025-02-04,groovy,0,53,0.0
2025-02-04,java,76,502,0.15139442231075698
2025-02-04,javascript,6,47,0.1276595744680851
2025-02-04,json,7,240,0.029166666666666667
2025-02-04,jsonc,1,38,0.02631578947368421
2025-02-04,jupyter,0,12,0.0
2025-02-04,markdown,11,81,0.13580246913580246
2025-02-04,powershell,218,758,0.287598944591029
2025-02-04,puml,0,4,0.0
2025-02-04,python,117,964,0.12136929460580913
2025-02-04,razor,0,1,0.0
2025-02-04,scss,0,14,0.0
2025-02-04,shellscript,12,187,0.06417112299465241
2025-02-04,sql,80,763,0.10484927916120576
2025-02-04,terraform,23,134,0.17164179104477612
2025-02-04,text,0,3,0.0
2025-02-04,typescript,213,883,0.24122310305775765
2025-02-04,typescriptreact,341,1796,0.18986636971046772
2025-02-04,unknown,67,603,0.1111111111111111
2025-02-04,vb,153,382,0.4005235602094241
2025-02-04,xml,23,177,0.12994350282485875
2025-02-04,yaml,87,662,0.13141993957703926
2025-02-05,csharp,901,3551,0.2537313432835821
2025-02-05,dotenv,0,15,0.0
2025-02-05,go,6,29,0.20689655172413793
2025-02-05,ini,1,13,0.07692307692307693
2025-02-05,java,6,293,0.020477815699658702
2025-02-05,javascript,4,21,0.19047619047619047
2025-02-05,json,7,43,0.16279069767441862
2025-02-05,jsonc,4,18,0.2222222222222222
2025-02-05,jupyter,0,7,0.0
2025-02-05,makefile,0,1,0.0
2025-02-05,markdown,0,34,0.0
2025-02-05,powershell,134,607,0.22075782537067545
2025-02-05,puml,3,4,0.75
2025-02-05,python,336,1690,0.19881656804733727
2025-02-05,sas,0,9,0.0
2025-02-05,scss,7,151,0.046357615894039736
2025-02-05,shellscript,12,93,0.12903225806451613
2025-02-05,sql,27,449,0.060133630289532294
2025-02-05,terraform,74,307,0.24104234527687296
2025-02-05,typescript,144,969,0.14860681114551083
2025-02-05,typescriptreact,540,1920,0.28125
2025-02-05,unknown,25,330,0.07575757575757576
2025-02-05,vb,41,285,0.14385964912280702
2025-02-05,xml,6,57,0.10526315789473684
2025-02-05,yaml,275,1470,0.1870748299319728
2025-02-06,csharp,765,3978,0.19230769230769232
2025-02-06,dockerfile,0,11,0.0
2025-02-06,dotenv,1,16,0.0625
2025-02-06,go,0,6,0.0
2025-02-06,groovy,1,30,0.03333333333333333
2025-02-06,html,1,0,0.0
2025-02-06,ini,3,25,0.12
2025-02-06,java,27,348,0.07758620689655173
2025-02-06,javascript,6,125,0.048
2025-02-06,json,12,217,0.055299539170506916
2025-02-06,jsonc,0,1,0.0
2025-02-06,jupyter,0,16,0.0
2025-02-06,latex,46,114,0.40350877192982454
2025-02-06,markdown,26,235,0.11063829787234042
2025-02-06,powershell,45,266,0.16917293233082706
2025-02-06,python,262,1537,0.1704619388418998
2025-02-06,razor,0,8,0.0
2025-02-06,rust,0,4,0.0
2025-02-06,shellscript,12,121,0.09917355371900827
2025-02-06,snowflake-sql,7,17,0.4117647058823529
2025-02-06,sql,31,481,0.06444906444906445
2025-02-06,terraform,29,409,0.07090464547677261
2025-02-06,typescript,112,631,0.1774960380348653
2025-02-06,typescriptreact,253,1185,0.21350210970464134
2025-02-06,unknown,61,325,0.18769230769230769
2025-02-06,vb,26,155,0.16774193548387098
2025-02-06,xml,33,171,0.19298245614035087
2025-02-06,yaml,214,1079,0.19833178869323448
2025-02-07,csharp,794,3192,0.2487468671679198
2025-02-07,dockerfile,0,16,0.0
2025-02-07,dotenv,0,3,0.0
2025-02-07,erlang,5,13,0.38461538461538464
2025-02-07,groovy,0,8,0.0
2025-02-07,ini,0,4,0.0
2025-02-07,java,5,30,0.16666666666666666
2025-02-07,javascript,35,109,0.3211009174311927
2025-02-07,json,34,456,0.07456140350877193
2025-02-07,makefile,0,19,0.0
2025-02-07,markdown,5,57,0.08771929824561403
2025-02-07,powershell,42,303,0.13861386138613863
2025-02-07,python,202,1601,0.12617114303560276
2025-02-07,razor,0,2,0.0
2025-02-07,shellscript,0,8,0.0
2025-02-07,sql,30,249,0.12048192771084337
2025-02-07,terraform,32,241,0.13278008298755187
2025-02-07,typescript,79,557,0.14183123877917414
2025-02-07,typescriptreact,307,1521,0.20184089414858647
2025-02-07,unknown,5,102,0.049019607843137254
2025-02-07,vb,7,118,0.059322033898305086
2025-02-07,xml,3,190,0.015789473684210527
2025-02-07,yaml,160,617,0.2593192868719611
2025-02-08,csharp,25,196,0.12755102040816327
2025-02-08,dotenv,1,2,0.5
2025-02-08,erlang,0,12,0.0
2025-02-08,java,0,68,0.0
2025-02-08,javascript,21,46,0.45652173913043476
2025-02-08,json,3,10,0.3
2025-02-08,python,16,280,0.05714285714285714
2025-02-08,sql,32,80,0.4
2025-02-08,typescript,1,2,0.5
2025-02-08,unknown,1,9,0.1111111111111111
2025-02-08,vb,5,131,0.03816793893129771
2025-02-08,xml,1,7,0.14285714285714285
2025-02-09,csharp,0,1,0.0
2025-02-09,erlang,12,34,0.35294117647058826
2025-02-09,python,0,1,0.0
2025-02-09,scss,11,72,0.1527777777777778
2025-02-09,sql,0,13,0.0
2025-02-09,typescript,7,79,0.08860759493670886
2025-02-09,typescriptreact,10,39,0.2564102564102564
2025-02-09,yaml,9,25,0.36
2025-02-10,csharp,1172,4160,0.28173076923076923
2025-02-10,dockerfile,0,2,0.0
2025-02-10,dotenv,0,2,0.0
2025-02-10,erlang,6,33,0.18181818181818182
2025-02-10,groovy,0,3,0.0
2025-02-10,html,1,71,0.014084507042253521
2025-02-10,java,1,117,0.008547008547008548
2025-02-10,javascript,3,60,0.05
2025-02-10,json,37,427,0.08665105386416862
2025-02-10,jsonc,0,3,0.0
2025-02-10,jupyter,0,11,0.0
2025-02-10,latex,14,49,0.2857142857142857
2025-02-10,markdown,43,177,0.24293785310734464
2025-02-10,mysql,0,7,0.0
2025-02-10,powershell,136,1006,0.13518886679920478
2025-02-10,python,243,1782,0.13636363636363635
2025-02-10,razor,9,18,0.5
2025-02-10,sas,3,21,0.14285714285714285
